Hot Chocolate,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Toasted White Chocolate Hot Chocolate - Extra Large,XLarge,770,15,14,0,5,560,150,3,130,121,7,0,586,233,1
Toasted White Chocolate Hot Chocolate - Large,Large,670,14,13,0,5,510,131,3,113,105,6,0,508,195,1
Toasted White Chocolate Hot Chocolate - Medium,Medium,490,10,9,0,0,370,95,2,82,77,5,0,370,144,0
Toasted White Chocolate Hot Chocolate - Small,Small,330,7,6,0,0,250,64,2,55,52,3,0,250,97,0
Box 'O Joe(R) Hot Chocolate,1 Small Cup,220,7,6,0,0,210,40,2,32,31,2,0,150,34,0
Hot Chocolate with Espresso Shot - Large,Large,400,12,11,0,0,390,71,3,55,53,3,0,354,61,1
Hot Chocolate with Espresso Shot - Medium,Medium,280,9,8,0,0,280,51,2,39,38,2,0,251,43,0
Hot Chocolate with Espresso Shot - Small,Small,190,6,5,0,0,190,35,1,27,26,2,0,173,30,0
Original Hot Chocolate - Extra Large,XLarge,500,15,14,0,0,480,89,3,71,68,4,0,335,76,1
Original Hot Chocolate - Large,Large,460,14,13,0,0,440,82,3,65,63,4,0,308,70,1
Original Hot Chocolate - Medium,Medium,330,10,9,0,0,320,59,2,46,45,3,0,220,50,0
Original Hot Chocolate - Small,Small,220,7,6,0,0,210,40,2,32,31,2,0,150,34,0
